iteration,total_cost,jerk_cost,time_cost,position_cost
0,4.012196289259456e+18,1.3057439396303007e+18,2.612516878643989e+18,9.393547098516637e+16
1,3.244172755100112e+18,1.0711441633864049e+18,2.097787939835656e+18,7.524065187805075e+16
2,2.199795764182029e+16,1.2919519059828326e+16,8385292477031015.0,693146104960946.4
3,2.1893365288248092e+16,1.2896446729359708e+16,8300535514066083.0,696383044822301.0
4,1.4871688560406954e+16,9078199492305396.0,5119025987819020.0,674463080282537.8
5,9588135575277374.0,4746729006557034.0,4299115393773441.0,542291174946897.6
6,6868987741433558.0,2178145238780955.2,4295473818600014.5,395368684052587.5
7,5244118687134951.0,835464581659019.0,4141927076067510.0,266727029408422.1
8,4178517685188509.5,272920785193562.75,3737219680037125.0,168377219957821.38
9,3425827951542421.0,166490554726230.66,3163114845473581.5,96222551342609.19
10,2870058291234044.5,283322170768391.94,2539507520196462.5,47228600269189.92
11,2453679150879337.5,479974016436887.44,1956002820680334.0,17702313762115.973
12,2126200470300281.5,665086723981486.5,1457089900303227.2,4023846015567.7554
13,1865675180330504.8,798304647138421.0,1065675952790413.1,1694580401670.832
14,1651648537077726.2,868907664200338.2,777610122585966.1,5130750291421.715
15,1474411586021770.8,872777230450593.6,592023647062501.1,9610708508675.943
16,1326813905664070.2,816672481014316.1,496068696802760.9,14072727846993.248
17,1202619607237823.0,718589503686100.9,466161389398329.4,17868714153392.77
18,1097090540516349.0,600808968595224.1,475931663369641.3,20349908551483.5
19,1006086009363879.8,480107403312804.25,504777723635781.06,21200882415294.48
20,927241603361880.5,365969686014505.25,540635476179534.75,20636441167840.56
21,858436923560014.4,262868549078701.4,576379505598703.8,19188868882609.27
22,797675712706482.0,174587521934556.38,605826271239784.0,17261919532141.6
23,743950187495306.2,106156336165576.06,622806709208025.8,14987142121704.549
24,696161233036698.1,60029946441391.12,623746741180129.8,12384545415177.256
25,653371453395955.4,34763173725750.703,608969851669891.5,9638428000313.135
26,616638747722321.2,27142352519007.266,582133610882328.8,7362784320985.208
27,581378735020401.9,31734394969634.82,543897454665357.9,5746885385409.088
28,550612234815796.6,45788723701046.58,499881618892588.9,4941892222161.219
29,471454213649083.8,61661871165701.31,405653424484382.1,4138917999000.373
30,234131705564994.44,93391493068943.1,137737522468476.22,3002690027575.13
31,147101397582659.06,83560541838359.08,59621144946699.75,3919710797600.2627
32,106750999087330.56,62578470102517.45,39179313589035.46,4993215395777.654
33,81837588368073.38,43745042409703.06,33274211023935.055,4818334934435.247
34,65522852774100.49,29541399246423.332,32219602824780.742,3761850702896.411
35,55339886769432.45,19069502192385.668,33404882963849.547,2865501613197.2314
36,47235678792777.766,10020097761010.658,34922427606109.324,2293153425657.7847
37,30743184388717.156,2972458690803.336,26300121900780.934,1470603797132.8882
38,7443942075349.995,852509513347.7192,6407786322293.88,183646239708.3958
39,2856698125504.8633,324718101538.3958,2460847230687.092,71132793279.37549
40,4192217.0957842288,904751.2956919014,2812056.1882809605,475409.6118113668
41,86544.79165318699,42158.993549287465,38538.28682517026,5847.511278729253
42,374.54398824988255,176.4392802330457,174.04456949075632,24.06013852608057
43,3.127295770034836,0.4408547564575905,2.6844208316605003,0.002020181916744995
44,3.123805946359344,0.4197631728731593,2.7017328057119823,0.002309967774202381
45,3.1238059103782585,0.41982853936723896,2.701668454560392,0.002308916450627246
